task	model	src	target	prediction	score	price	n_tokens	src_n_words
br2fr	gemini-1.5-flash	Eñvorennoù : geriadur Ernod 1927	Souvenirs : dictionnaire Ernault 1927	Souvenirs : le dictionnaire d'Ernault de 1927	0.9468724491285895	0.0	658	5
br2fr	gemini-1.5-flash	 A-benn ar fin ez eo tost an dilojadeg du-mañ da vezañ echu	 Enfin, le déménagement chez moi est presque terminé	 Finalement, ce déménagement est presque terminé	0.8422274695834606	0.0	658	13
br2fr	gemini-1.5-flash	 Goude pakañ e vez dispakañ d’ober, hag e-barzh unan eus ar boestadoù levrioù em eus adkavet « Geriadurig brezonekgallek » Emile Ernault (1852- 1938) embannet er bloavezh 1927	" Après avoir emballé, il faut déballer, et dans l'une des boîtes de livres, j'ai retrouvé le ""Petit dictionnaire breton-français"" d'Émile Ernault (1852-1938) publié en 1927"	 Après avoir emballé, il faut déballer, et dans l'une des boîtes de livres, j'ai retrouvé « Dictionnaire breton-français » d'Emile Ernault (1852-1938) publié en 1927	0.979752672880078	0.0	658	29
br2fr	gemini-1.5-flash	 Un tamm levrig bihan eo 9 santimetr dre 13,5 santimetr	 C'est un petit livre de 9 centimètres sur 13,5 centimètres	 C'est un petit livre, 9 centimètres par 13,5 centimètres	0.9736086552915267	0.0	658	11
br2fr	gemini-1.5-flash	 Bihan ne dalvez ket ez eo paour ha divalav	 Petit ne signifie pas qu'il est pauvre et sans valeur	 Petit ne signifie pas pauvre et indigent	0.9109248013664364	0.0	658	10
br2fr	gemini-1.5-flash	 Ur bern gerioù a zo kouchet e-barzh, gerioù da skouer bet klevet gantañ gant e bried, un dimezell Herri, ur Oueloùardez anezhi pinvidik-tre he yezh	 Il contient une multitude de mots, des mots qu'il avait entendus de sa femme, une demoiselle Herri, une femme du Goëlo avec un parler riche	 Il contient un grand nombre de mots, des mots par exemple qu'il a entendus prononcés par sa femme, une demoiselle Herri, une Ouessantese dont la langue était extrêmement riche	0.9253587017667381	0.0	658	26
br2fr	gemini-1.5-flash	 Emile Ernault en doa desket brezhoneg e-unan e Sant-Brieg hag eñ den-bras, setu perak en devoa selaouet pizh yezh e wreg, rak pa vez nevez desket ur yezh e vez ezhomm da gomz ha da selaou ouzh brezhonegerien avihanik	 Émile Ernault avait appris le breton par lui-même à Saint-Brieuc alors qu'il était déjà adulte, c'est pourquoi il avait écouté attentivement la langue de sa femme, car lorsqu'on apprend une nouvelle langue, il est nécessaire de parler et d'écouter des locuteurs natifs	 Emile Ernault avait appris le breton tout seul à Saint-Brieuc alors qu'il était un homme grand, c'est pourquoi il avait écouté attentivement la langue de sa femme, car quand on apprend une langue, il faut parler et écouter des locuteurs natifs	0.9508434626404574	0.0	658	40
br2fr	gemini-1.5-flash	 Heuilh a reas kentelioù Jozef Loth e Roazhon ivez	 Il suivit également les cours de Joseph Loth à Rennes	 Il suivit également les cours de Joseph Loth à Rennes	0.9999937808871493	0.0	658	10
br2fr	gemini-1.5-flash	 Ganet e oa ma zad e 1910	 Mon père est né en 1910	 Mon père est né en 1910	0.9999984997319923	0.0	658	8
br2fr	gemini-1.5-flash	 Tuet evel ma oa da zeskiñ yezhoù, e soñjas d’e dad e c’hallfe ar geriadurig-se plijout d’e vab	 Passionné d'apprentissage des langues, son père pensa que ce petit dictionnaire pourrait plaire à son fils	 Comme il était porté à apprendre les langues, il pensa que ce dictionnaire pourrait plaire à son fils	0.85073643665962	0.0	658	19
br2fr	gemini-1.0-pro	Eñvorennoù : geriadur Ernod 1927	Souvenirs : dictionnaire Ernault 1927	Contexte : dictionnaire Ernod 1927	0.6084464898034279	0.0	658	5
br2fr	gemini-1.0-pro	 A-benn ar fin ez eo tost an dilojadeg du-mañ da vezañ echu	 Enfin, le déménagement chez moi est presque terminé	 Finalement ce sombre déménagement est bientôt fini	0.7483610470703309	0.0	658	13
br2fr	gemini-1.0-pro	 Goude pakañ e vez dispakañ d’ober, hag e-barzh unan eus ar boestadoù levrioù em eus adkavet « Geriadurig brezonekgallek » Emile Ernault (1852- 1938) embannet er bloavezh 1927	" Après avoir emballé, il faut déballer, et dans l'une des boîtes de livres, j'ai retrouvé le ""Petit dictionnaire breton-français"" d'Émile Ernault (1852-1938) publié en 1927"	 Après avoir emballé vient le déballage et c'est dans un des cartons de livres que j'ai retrouvé le « Dictionnaire breton-français » d'Emile Ernault (1852- 1938) paru en 1927	0.9461132500690185	0.0	658	29
br2fr	gemini-1.0-pro	 Un tamm levrig bihan eo 9 santimetr dre 13,5 santimetr	 C'est un petit livre de 9 centimètres sur 13,5 centimètres	 Un livre de poche tout petit, 9 cm sur 13,5 cm	0.8432716604390901	0.0	658	11
br2fr	gemini-1.0-pro	 Bihan ne dalvez ket ez eo paour ha divalav	 Petit ne signifie pas qu'il est pauvre et sans valeur	 Petit mais n'ayant rien d'un petit livre sans intérêt	0.5874046656486296	0.0	658	10
br2fr	gemini-1.0-pro	 Ur bern gerioù a zo kouchet e-barzh, gerioù da skouer bet klevet gantañ gant e bried, un dimezell Herri, ur Oueloùardez anezhi pinvidik-tre he yezh	 Il contient une multitude de mots, des mots qu'il avait entendus de sa femme, une demoiselle Herri, une femme du Goëlo avec un parler riche	 Il regorge de mots, des mots entendus par l'auteur auprès de son épouse, une demoiselle Herri, native de Plouezec riche de son parler	0.8874507317820207	0.0	658	26
