task	datetime	model	score_mean	score_std	price	n_tokens	src_n_words_mean	src_n_words_std
br2fr	2024-06-12_21:10:30	gpt-4-turbo	0.94	0.05	0.06	7120	17.1	11.2
br2fr	2024-06-13_20:27:04	gpt-4o-2024-05-13	0.94	0.06	0.05	6320	17.1	11.2
br2fr	2024-06-12_21:10:30	gemini-1.5-flash	0.93	0.05	0.0	6580	17.1	11.2
br2fr	2024-06-12_21:10:30	gemini-1.5-pro	0.93	0.07	0.0	6610	17.1	11.2
br2fr	2024-06-13_20:26:48	gpt-4-turbo-2024-04-09	0.93	0.05	0.06	7190	17.1	11.2
br2fr	2024-06-13_20:34:23	claude-3-opus-20240229	0.93	0.04	0.0	8010	17.1	11.2
br2fr	2024-06-13_20:33:38	claude-3-haiku-20240307	0.91	0.11	0.0	8080	17.1	11.2
br2fr	2024-06-13_20:33:55	claude-3-sonnet-20240229	0.88	0.09	0.0	7990	17.1	11.2
br2fr	2024-06-13_20:26:26	gpt-4-0613	0.86	0.16	0.06	7310	17.1	11.2
br2fr	2024-06-12_21:10:30	gemini-1.0-pro	0.83	0.14	0.0	6580	17.1	11.2
br2fr	2024-06-12_21:10:30	gpt-3.5-turbo	0.8	0.17	0.0	7390	17.1	11.2
br2fr	2024-06-13_20:25:59	gpt-3.5-turbo-0125	0.8	0.17	0.0	7160	17.1	11.2
fr2br	2024-06-13_20:35:43	claude-3-opus-20240229	0.79	0.09	0.0	7970	16.6	11.7
fr2br	2024-06-12_21:10:30	gpt-4-turbo	0.78	0.12	0.07	7030	16.6	11.7
fr2br	2024-06-13_20:28:17	gpt-4-turbo-2024-04-09	0.78	0.12	0.07	7020	16.6	11.7
fr2br	2024-06-12_21:10:30	gemini-1.5-flash	0.75	0.12	0.0	6560	16.6	11.7
fr2br	2024-06-12_21:10:30	gemini-1.0-pro	0.75	0.14	0.0	6450	16.6	11.7
fr2br	2024-06-12_21:10:30	gemini-1.5-pro	0.75	0.1	0.0	6520	16.6	11.7
fr2br	2024-06-13_20:28:37	gpt-4o-2024-05-13	0.75	0.11	0.06	6120	16.6	11.7
fr2br	2024-06-13_20:27:50	gpt-4-0613	0.73	0.13	0.07	7180	16.6	11.7
fr2br	2024-06-13_20:34:38	claude-3-haiku-20240307	0.72	0.09	0.0	8090	16.6	11.7
fr2br	2024-06-12_21:10:30	gpt-3.5-turbo	0.71	0.15	0.0	7310	16.6	11.7
fr2br	2024-06-13_20:34:59	claude-3-sonnet-20240229	0.71	0.14	0.0	7870	16.6	11.7
fr2br	2024-06-13_20:27:20	gpt-3.5-turbo-0125	0.69	0.13	0.0	7430	16.6	11.7
